Country,Happiness,All types,Beer,Wine,Spirits,Other alcoholic beverages,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,7.632,8.37,3.97,1.72,1.1,1.58,1,1.305,1.592,0.874,0.681,0.202,0.393
Norway,7.594,6.02,2.66,2.2,0.97,0.19,2,1.456,1.582,0.861,0.686,0.286,0.340
Denmark,7.555,9.31,3.45,4.22,1.65,0,3,1.351,1.59,0.868,0.683,0.284,0.408
Iceland,7.495,7.72,4.39,2.11,1.22,0,4,1.343,1.644,0.914,0.677,0.353,0.138
Switzerland,7.487,9.51,3.17,4.23,1.65,0.12,5,1.42,1.549,0.927,0.66,0.256,0.357
Netherlands,7.441,8.34,4,2.94,1.41,0,6,1.361,1.488,0.878,0.638,0.333,0.295
Canada,7.328,8.2,3.6,2.2,2.1,0.3,7,1.33,1.532,0.896,0.653,0.321,0.291
New Zealand,7.324,9.12,3.39,2.94,1.56,1.23,8,1.268,1.601,0.876,0.669,0.365,0.389
Sweden,7.314,7.2,2.69,3.38,1,0.13,9,1.355,1.501,0.913,0.659,0.285,0.383
Australia,7.272,9.51,3.71,3.67,1.32,0.81,10,1.34,1.573,0.91,0.647,0.361,0.302
United Kingdom,7.19,10.01,3.57,3.44,2.39,0.61,11,1.244,1.433,0.888,0.464,0.262,0.082
Austria,7.139,11.8,6.4,3.6,1.9,0,12,1.341,1.504,0.891,0.617,0.242,0.224
Costa Rica,7.072,3.79,2.43,0.36,0.98,0.02,13,1.01,1.459,0.817,0.632,0.143,0.101
Ireland,6.977,11.2,5.12,2.9,2.32,0.85,14,1.448,1.583,0.876,0.614,0.307,0.306
Germany,6.965,10.81,5.64,3.11,2.07,0,15,1.34,1.474,0.861,0.586,0.273,0.280
Belgium,6.927,9.42,4.46,3.47,1.15,0.34,16,1.324,1.483,0.894,0.583,0.188,0.240
