Rank,Track,Artist,Streams,Date,WeekDay,Month
1,The Box,Roddy Ricch,1812103,2020-01-01,Wed,Jan
2,ROXANNE,Arizona Zervas,1400495,2020-01-01,Wed,Jan
3,Circles,Post Malone,1186861,2020-01-01,Wed,Jan
4,BOP,DaBaby,1130123,2020-01-01,Wed,Jan
5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,968612,2020-01-01,Wed,Jan
6,Dance Monkey,Tones And I,916609,2020-01-01,Wed,Jan
7,Futsal Shuffle 2020,Lil Uzi Vert,893092,2020-01-01,Wed,Jan
8,Falling,Trevor Daniel,872244,2020-01-01,Wed,Jan
9,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",786856,2020-01-01,Wed,Jan
10,Ballin' (with Roddy Ricch),Mustard,772662,2020-01-01,Wed,Jan
11,bad guy,Billie Eilish,717321,2020-01-01,Wed,Jan
12,everything i wanted,Billie Eilish,691325,2020-01-01,Wed,Jan
13,Suicidal,YNW Melly,682998,2020-01-01,Wed,Jan
14,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",680820,2020-01-01,Wed,Jan
15,Adore You,Harry Styles,676253,2020-01-01,Wed,Jan
16,Blinding Lights,The Weeknd,670492,2020-01-01,Wed,Jan
17,HIGHEST IN THE ROOM,Travis Scott,654571,2020-01-01,Wed,Jan
18,hot girl bummer,blackbear,634027,2020-01-01,Wed,Jan
19,Don't Start Now,Dua Lipa,622304,2020-01-01,Wed,Jan
20,My Oh My (feat. DaBaby),Camila Cabello,621539,2020-01-01,Wed,Jan
21,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,620284,2020-01-01,Wed,Jan
22,Heartless,The Weeknd,613239,2020-01-01,Wed,Jan
23,Suge,DaBaby,607559,2020-01-01,Wed,Jan
24,VIBEZ,DaBaby,605164,2020-01-01,Wed,Jan
25,Truth Hurts,Lizzo,599849,2020-01-01,Wed,Jan
26,Woah,Lil Baby,596844,2020-01-01,Wed,Jan
27,Watermelon Sugar,Harry Styles,583625,2020-01-01,Wed,Jan
28,No Idea,Don Toliver,580241,2020-01-01,Wed,Jan
29,Lucid Dreams,Juice WRLD,579125,2020-01-01,Wed,Jan
30,Memories,Maroon 5,578449,2020-01-01,Wed,Jan
31,Someone You Loved,Lewis Capaldi,576490,2020-01-01,Wed,Jan
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,564699,2020-01-01,Wed,Jan
33,Ransom,Lil Tecca,521428,2020-01-01,Wed,Jan
34,Robbery,Juice WRLD,521072,2020-01-01,Wed,Jan
