"Rank","Program","Network","Rating","Year","Spinoff","Type"
1,"Cheers","NBC",21.3,1990,"No","Sitcom"
2,"60 Minutes","CBS",20.6,1990,"No","News"
3,"Roseanne","ABC",18.1,1990,"No","Sitcom"
4,"A Different World","NBC",17.5,1990,"Yes","Sitcom"
5,"The Cosby Show","NBC",17.1,1990,"No","Sitcom"
6,"Murphy Brown","CBS",16.9,1990,"No","Sitcom"
7,"Empty Nest","NBC",16.7,1990,"Yes","Sitcom"
7,"America's Funniest Home Videos","ABC",16.7,1990,"No","Reality"
9,"Monday Night Football","ABC",16.6,1990,"No","Sports"
10,"The Golden Girls","NBC",16.5,1990,"No","Sitcom"
10,"Designing Women","CBS",16.5,1990,"No","Sitcom"
12,"Murder She Wrote","CBS",16.4,1990,"No","Drama"
13,"America's Funniest People","ABC",16.3,1990,"Yes","Reality"
14,"Full House","ABC",15.9,1990,"No","Sitcom"
15,"Family Matters","ABC",15.8,1990,"Yes","Sitcom"
16,"Unsolved Mysteries","NBC",15.7,1990,"No","Reality"
17,"Matlock","NBC",15.5,1990,"No","Drama"
18,"Coach","ABC",15.3,1990,"No","Sitcom"
19,"Who's the Boss?","ABC",15,1990,"No","Sitcom"
19,"CBS Sunday Movie","CBS",15,1990,"No","Special"
21,"In the Heat of the Night","NBC",14.9,1990,"Yes","Drama"
21,"Major Dad","CBS",14.9,1990,"No","Sitcom"
23,"L.A. Law","NBC",14.8,1990,"No","Drama"
24,"Doogie Howser M.D.","ABC",14.7,1990,"No","Sitcom"
25,"Grand","NBC",14.6,1990,"No","Sitcom"
26,"Head of the Class","ABC",14.5,1990,"No","Sitcom"
27,"Growing Pains","ABC",14.3,1990,"No","Sitcom"
27,"Baby Talk","ABC",14.3,1990,"No","Sitcom"
27,"Davis Rules","ABC",14.3,1990,"No","Sitcom"
30,"The Wonder Years","ABC",14.2,1990,"No","Drama"
1,"60 Minutes","CBS",21.9,1991,"No","News"
2,"Roseanne","ABC",19.9,1991,"No","Sitcom"
3,"Murphy Brown","CBS",18.6,1991,"No","Sitcom"
4,"Cheers","NBC",17.5,1991,"No","Sitcom"
4,"Home Improvement","ABC",17.5,1991,"No","Sitcom"
6,"Designing Women","CBS",17.3,1991,"No","Sitcom"
7,"Full House","ABC",17,1991,"No","Sitcom"
8,"Murder She Wrote","CBS",16.9,1991,"No","Drama"
9,"Major Dad","CBS",16.8,1991,"No","Sitcom"
10,"Coach","ABC",16.7,1991,"No","Sitcom"
10,"Room for Two","ABC",16.7,1991,"No","Sitcom"
12,"Monday Night Football","ABC",16.6,1991,"No","Sports"
13,"Unsolved Mysteries","NBC",16.5,1991,"No","Reality"
14,"CBS Sunday Night Movie","CBS",15.9,1991,"No","Special"
15,"Evening Shade","CBS",15.6,1991,"No","Sitcom"
16,"Northern Exposure","CBS",15.5,1991,"No","Drama"
17,"A Different World","NBC",15.2,1991,"Yes","Sitcom"
18,"The Cosby Show","NBC",15,1991,"No","Sitcom"
19,"Wings","NBC",14.6,1991,"No","Sitcom"
20,"America's Funniest Home Videos","ABC",14.5,1991,"No","Reality"
21,"20/20","ABC",14.4,1991,"No","News"
22,"The Fresh Prince of Bel-Air","NBC",14.3,1991,"No","Sitcom"
22,"Empty Nest","NBC",14.3,1991,"Yes","Sitcom"
24,"NBC Monday Movie","NBC",13.9,1991,"No","Special"
25,"America's Funniest People","ABC",13.8,1991,"Yes","Reality"
25,"ABC Monday Movie","ABC",13.8,1991,"No","Special"
27,"Family Matters","CBS",13.5,1991,"Yes","Sitcom"
28,"L.A. Law","NBC",13.3,1991,"No","Drama"
29,"48 Hours","CBS",13.2,1991,"No","News"
30,"In the Heat of the Night","NBC",13.1,1991,"Yes","Drama"
1,"60 Minutes","CBS",21.9,1992,"No","News"
2,"Roseanne","ABC",20.7,1992,"No","Sitcom"
3,"Home Improvement","ABC",19.4,1992,"No","Sitcom"
4,"Murphy Brown","CBS",17.9,1992,"No","Sitcom"
5,"Murder She Wrote","CBS",17.7,1992,"No","Drama"
6,"Coach","ABC",17.5,1992,"No","Sitcom"
7,"Monday Night Football","ABC",16.7,1992,"No","Sports"
8,"CBS Sunday Movie","CBS",16.1,1992,"No","Special"
8,"Cheers","NBC",16.1,1992,"No","Sitcom"
10,"Full House","ABC",15.8,1992,"No","Sitcom"
11,"Northern Exposure","CBS",15.2,1992,"No","Drama"
12,"20/20","ABC",15.1,1992,"No","News"
12,"Rescue 911","CBS",15.1,1992,"No","Reality"
12,"Rescue 911","CBS",15.1,1992,"No","Reality"
14,"CBS Tuesday Movie","CBS",14.8,1992,"No","Special"
15,"Love & War","CBS",14.7,1992,"No","Sitcom"
16,"The Fresh Prince of Bel-Air","NBC",14.6,1992,"No","Sitcom"
16,"Hangin' with Mr. Cooper","ABC",14.6,1992,"No","Sitcom"
16,"The Jackie Thomas Show","ABC",14.6,1992,"No","Sitcom"
19,"Evening Shade","CBS",14.5,1992,"No","Sitcom"
20,"Hearts Afire","CBS",14.3,1992,"No","Sitcom"
21,"Unsolved Mysteries","NBC",14.2,1992,"No","Reality"
22,"Primetime Live","ABC",14.1,1992,"No","News"
23,"Dr. Quinn Medicine Woman","CBS",14,1992,"No","Drama"
24,"NBC Monday Movie","NBC",13.9,1992,"No","Special"
25,"Seinfeld","NBC",13.7,1992,"No","Sitcom"
26,"48 Hours","CBS",13.5,1992,"No","News"
26,"Blossom","NBC",13.5,1992,"No","Sitcom"
28,"Matlock","ABC",13.3,1992,"No","Drama"
30,"Wings","NBC",13,1992,"No","Sitcom"
30,"The Simpsons","FOX",13,1992,"Yes","Sitcom"
1,"60 Minutes","CBS",20.9,1993,"No","News"
2,"Home Improvement","ABC",20.4,1993,"No","Sitcom"
3,"Seinfeld","NBC",19.4,1993,"No","Sitcom"
4,"Roseanne","ABC",19.1,1993,"No","Sitcom"
5,"Grace Under Fire","ABC",17.7,1993,"No","Sitcom"
6,"Coach","ABC",17.4,1993,"No","Sitcom"
7,"Frasier","NBC",16.8,1993,"Yes","Sitcom"
8,"Monday Night Football","ABC",16.5,1993,"No","Sports"
9,"Murphy Brown","CBS",16.3,1993,"No","Sitcom"
10,"CBS Sunday Movie","CBS",16.2,1993,"No","Special"
11,"Murder She Wrote","CBS",16,1993,"No","Drama"
12,"Thunder Alley","ABC",15.9,1993,"No","Sitcom"
13,"Love & War","CBS",14.5,1993,"No","Sitcom"
14,"Northern Exposure","CBS",14.4,1993,"No","Drama"
15,"20/20","ABC",14.3,1993,"No","News"
16,"Full House","ABC",14.2,1993,"No","Sitcom"
17,"Primetime Live","ABC",14,1993,"No","News"
18,"NYPD Blue","ABC",13.9,1993,"No","Drama"
18,"Wings","NBC",13.9,1993,"No","Sitcom"
20,"Turning Point","ABC",13.8,1993,"No","Drama"
21,"Dave's World","CBS",13.7,1993,"No","Sitcom"
21,"The Fresh Prince of Bel-Air","NBC",13.7,1993,"No","Sitcom"
23,"NBC Monday Movie","NBC",13.6,1993,"No","Special"
24,"Homicide: Life on the Street","NBC",13.5,1993,"No","Sitcom"
25,"CBS Tuesday Movie","CBS",13.3,1993,"No","Special"
25,"Dr. Quinn Medicine Woman","CBS",13.3,1993,"No","Drama"
27,"Phenom","ABC",13.2,1993,"No","Sitcom"
27,"Evening Shade","CBS",13.2,1993,"No","Sitcom"
27,"Rescue 911","CBS",13.2,1993,"No","Reality"
27,"Rescue 911","CBS",13.2,1993,"No","Reality"
30,"Family Matters","ABC",12.6,1993,"Yes","Sitcom"
1,"Seinfeld","NBC",20.6,1994,"No","Sitcom"
2,"ER","NBC",20,1994,"No","Drama"
3,"Home Improvement","ABC",19.5,1994,"No","Sitcom"
4,"Grace Under Fire","ABC",18.6,1994,"No","Sitcom"
5,"Monday Night Football","ABC",17.7,1994,"No","Sports"
6,"60 Minutes","CBS",17.2,1994,"No","News"
7,"NYPD Blue","ABC",16.5,1994,"No","Drama"
8,"Murder She Wrote","CBS",15.6,1994,"No","Drama"
8,"Friends","NBC",15.6,1994,"No","Sitcom"
10,"Roseanne","ABC",15.5,1994,"No","Sitcom"
11,"Mad About You","NBC",15.2,1994,"No","Sitcom"
12,"Madman of the People","NBC",14.9,1994,"No","Sitcom"
13,"Ellen","ABC",14.8,1994,"No","Drama"
14,"Hope and Gloria","NBC",14.6,1994,"No","Sitcom"
15,"Frasier","NBC",14.5,1994,"Yes","Sitcom"
16,"Murphy Brown","CBS",14.1,1994,"No","Sitcom"
17,"20/20","ABC",14,1994,"No","News"
18,"CBS Sunday Movie","CBS",13.7,1994,"No","Special"
19,"NBC Monday Movie","NBC",13.6,1994,"No","Special"
20,"Me and the Boys","ABC",13.1,1994,"No","Sitcom"
