Date,Type,Dead,Injured,Location(s),Details,Perpetrator,Image
2000-10-10,Firebombing,0,0,"New York City, New York","2000 New York terror attack: Three young men of Arab descent hurled crude Molotov cocktails at a synagogue in The Bronx, New York to ""strike a blow in the Middle East conflict between Israel and Palestine"".[65]",Mazin Assi and co-conspirators,NA
2000-10-13,Firebombing,0,0,"Syracuse, New York",Firebombing of Temple Beth El (Syracuse),Ramsi Uthman,NA
2001-05-21,Firebombing,0,0,"Seattle, Washington","University of Washington firebombing incident: The Center for Urban Horticulture at the University of Washington is burned by the Earth Liberation Front. The replacement building costs $7 million ($10,107,000 today). Earth Liberation Front members pled guilty.[83][84]",Earth Liberation Front,NA
2001-09-11,"Aircraft hijackings, suicide attacks",2977,6000,"New York City, New York Arlington County, Virginia Shanksville, Pennsylvania","September 11 attacks: Aircraft hijackings and suicide attacks carried out against the United States by the al-Qaeda Network, killing 2,507 civilians, 343 firefighters, 72 law enforcement officers, 55 military personnel, and 19 perpetrators. Four domestic commercial airliners were hijacked simultaneously while flying within the Northeastern United States; two flew directly into the Twin Towers of the World Trade Center in New York City, the third into the Pentagon in Arlington County, Virginia, and the fourth (thanks to the revolt by the passengers and crew members) into a field near Shanksville, Pennsylvania, during a failed attempt to destroy its intended target in Washington, D.C., either the White House or the United States Capitol. The Twin Towers collapsed, and the Pentagon received extensive damage in the western side of the building. Building 7 of the World Trade Center was also destroyed in the attack, though there were no casualties.",al-Qaeda,https://cdn.theatlantic.com/thumbor/kSTukUk_Bv1a2-8CyVHHgtrbDeM=/1200x869/media/img/photo/2011/09/911-the-day-of-the-attacks/a03_0RTRMNQW/original.jpg
2001-12-12,Attempted Bombing,0,0,"Culver City, California","2001 JDL plot in California: Jewish Defense League leader Irv Rubin and member Earl Krugel were charged with planning a series of bomb attacks against the Muslim Public Affairs Council in Los Angeles, the King Fahd Mosque in Culver City, and the San Clemente office of Arab-American Congressman Darrell Issa, in the wake of the September 11 attacks.[85]",Jewish Defense League,NA
2001-09-18,Bioterrorism,5,17,United States,"2001 anthrax attacks: Letters tainted with anthrax killed five across the U.S., with politicians and media officials as the apparent targets. On July 31, 2008, Bruce E. Ivins, a top biodefense researcher, committed suicide.[86] On August 6, 2008, the FBI concluded that Ivins was solely responsible for the attacks, and suggested that Ivins wanted to bolster support for a vaccine he helped create and that he targeted two lawmakers because they were Catholics who held pro-choice views.[87] However, subsequent evaluations have found that the FBI's investigation failed to provide any direct evidence linking Ivins to the mailings.[88]","Unknown, Bruce Edward Ivins named as perpetrator by FBI",NA
2001-12-22,Bombing,0,1,"Miami, Florida",2001 failed shoe bomb attempt: An al-Qaeda operative attempted to detonate a bomb concealed in his shoes while on board a plane from Paris to Miami. He failed to detonate it and was apprehended by passengers and crew.[89],Richard Reid,NA
2002-05-08,Dirty Bomb,0,0,"Chicago, Illinois",Abdullah al-Muhajir was arrested for planning to use a radiological bomb.[90],Abdullah al-Muhajir,NA
2002-07-04,Shooting,2,4,"Los Angeles, California","2002 Los Angeles International Airport shooting: Hesham Mohamed Hadayet, a 41-year-old Egyptian national, killed two Israelis and wounds four others at the El Al ticket counter at Los Angeles International Airport.[91] The FBI concluded this was terrorism, though they did not find evidence linking Hadayet to a terrorist group.[92]",Hesham Mohamed Hadayet,NA
2002-10-24,Shootings,17,10,"Montgomery County, Maryland Beltway, Virginia Washington, D.C.","Beltway sniper attacks: During three weeks in October 2002, John Allen Muhammad and Lee Boyd Malvo shot and killed 10 people and critically injured three others in the cities of Washington D.C., Baltimore, Maryland and the state of Virginia. The pair were also suspected of earlier shootings in Maryland, Alabama, Arizona, Georgia, Louisiana, and Washington. At the 2006 trial of Muhammad, Malvo testified that the aim of the killing spree was to kidnap children for the purpose of extorting money from the government, even though no one was kidnapped.[93]",John Allen Muhammad and Lee Boyd Malvo,NA
2003-03-19,Sabotage,0,0,"New York City, New York",Iyman Faris was arrested for plotting to destroy the Brooklyn Bridge.[94],Iyman Faris,NA
