Joined,State,1788,1792,1796-1800,1804-1808,1812,1816,1820,1824-1828,1832,1836-1840,1844,1848,1852-1856,1860,1864,1868,1872,1876-1880,1884-1888,1892,1896-1900,1904,1908,1912-1928,1932-1940,1944-1948,1952-1956,1960,1964-1968,1972-1980,1984-1988,1992-2000,2004-2008,2012-2020
22,Alabama,,,,,,,3,5,7,7,9,9,9,9,0,8,10,10,10,11,11,11,11,12,11,11,11,11,10,9,9,9,9,9
49,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3
48,Arizona,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,5,6,7,8,10,11
25,Arkansas,,,,,,,,,,3,3,3,4,4,0,5,6,6,7,8,8,9,9,9,9,9,8,8,6,6,6,6,6,6
31,California,,,,,,,,,,,,,4,4,5,5,6,6,8,9,9,10,10,13,22,25,32,32,40,45,47,54,55,55
38,Colorado,,,,,,,,,,,,,,,,,,3,3,4,4,5,5,6,6,6,6,6,6,7,8,8,9,9
5,Connecticut,7,9,9,9,9,9,9,8,8,8,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,7,7
,D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
1,Delaware,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27,Florida,,,,,,,,,,,,3,3,3,0,3,4,4,4,4,4,5,5,6,7,8,10,10,14,17,21,25,27,29
4,Georgia,5,4,4,6,8,8,8,9,11,11,10,10,10,10,0,9,11,11,12,13,13,13,13,14,12,12,12,12,12,12,12,13,15,16
50,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4
43,Idaho,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
21,Illinois,,,,,,,3,3,5,5,9,9,11,11,16,16,21,21,22,24,24,27,27,29,29,28,27,27,26,26,24,22,21,20
19,Indiana,,,,,,3,3,5,9,9,12,12,13,13,13,13,15,15,15,15,15,15,15,15,14,13,13,13,13,13,12,12,11,11
29,Iowa,,,,,,,,,,,,4,4,4,8,8,11,11,13,13,13,13,13,13,11,10,10,10,9,8,8,7,7,6
34,Kansas,,,,,,,,,,,,,,,3,3,5,5,9,10,10,10,10,10,9,8,8,8,7,7,7,6,6,6
15,Kentucky,,4,4,8,12,12,12,14,15,15,12,12,12,12,11,11,12,12,13,13,13,13,13,13,11,11,10,10,9,9,9,8,8,8
18,Louisiana,,,,,3,3,3,5,5,5,6,6,6,6,0,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,9,9,8
23,Maine,,,,,,,9,9,10,10,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4
7,Maryland,8,10,10,11,11,11,11,11,10,10,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10
6,Massachusetts,10,16,16,19,22,22,15,15,14,14,12,12,13,13,12,12,13,13,14,15,15,16,16,18,17,16,16,16,14,14,13,12,12,11
26,Michigan,,,,,,,,,,3,5,5,6,6,8,8,11,11,13,14,14,14,14,15,19,19,20,20,21,21,20,18,17,16
32,Minnesota,,,,,,,,,,,,,,4,4,4,5,5,7,9,9,11,11,12,11,11,11,11,10,10,10,10,10,10
20,Mississippi,,,,,,,3,3,4,4,6,6,7,7,0,0,8,8,9,9,9,10,10,10,9,9,8,8,7,7,7,7,6,6
24,Missouri,,,,,,,3,3,4,4,7,7,9,9,11,11,15,15,16,17,17,18,18,18,15,15,13,13,12,12,11,11,11,10
41,Montana,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3
