Sriracha,Buffalo,Steak
Raspberry,Sirloin Steak,Coffee
Raspberry,Soy sauce,Milk chocolate
Bacon,Strawberries,blueberries
Chocolate,Coffee,Peanut Butter
,,
Balsamic Vinegar,Avacado,Burnt Cheese
Dark Chocolate,Coca-Cola,Milk Chocolate
iron ,gingersnaps,sea water 
Garlic,Aged Cheddar,Caramel
Garlic,sriracha,soy sauce
honey,proscuitto,vinegar
Vanilla,Butter,Onion
mint,chocolate,"green tea but only when it's a flavor, not the actual green tea"
marinara,beef,pumpkin
butter,salt,flour
blackberry,chocolate,bacon
Chocolate,Root beer,Toffee
Coffee,Chocolate,Marijuana
Mushroom,Shallot,Tarragon
Rasberry,Curry ,Ginger
chocolate,peanut butter,
Vanilla,scallop,chocolate 
coffee,red meat,cheescake
Vanilla,Chocolate Chunk,Double Fudge
Cheese,Caramel,Coffee
Onion,Peanut Butter,Lemon
Coffee,Peanut Butter,Chocolate
Water,Smoke,Chocolate
Lemonade,Peanut Butter,Cola
Sweet,Apple ,Caramel
parmesan,artichoke,xhickrn
Peppermint,Coffee,Strawberry
Curry,squash,cayenne pepper
Banana,Jalape̱o,Vanilla
Raspberry,Chocolate,Gary Coleman
milk caramel ,milk chocolate ,Dom
Sugar,Fat,Salt
Wintergreen,purple,orange
Mango,popcorn,strawberry
Dark Chocolate,Salt,Seared edge of steak
vanilla,raspberry,grapefruit
Salt-y,Lime,coffee
Orange,Tangy,Sweet
raspberry,curry,shrimp
Mango,Malt,Mustard
Chai,Meyer Lemon,Bacon
Blueberry,Watermelon,Wintergreen
Chai,Tuna,Teriyaki
Steak,Chocolate,Butter
Vanilla,Hot Sauce,Chocolate
chocolate,coconut,pomegranate
,,
Caramel,Bacon,Buffalo Wings
garlic ,chocolate ,blood orange 
Pork,spicy,fishy
chocolate,wood,salty
White chocolate,strawberry,chocolate
Coffee,Vanilla,Almond
Watermelon,Strawberry,BBQ
Chocolate,Deep fried batter,Burnt meat
sorgum,lemongrass,chicory
Pepsi,BBQ,Watermelon
Cajun,Hickory,Smoky 
sour,lemon,curry
,,
chocolate,strawberry,minister
Blue Cheese,Celery,Cherry
,,
chocolate,peanut butter,maple
Curry,Coffee,Dark Chocolate
vanilla,cinnamon,lemon
Blue Cheese,Green Olives,Bacon
Butter,Dough,Cream
Lime,Mushroom,Caramel 
lavender ,sarsparilla,wasabi
roast beef,lemon,honey
Chocolate,Vanilla,Banana
Beef Jerky,Coffee,Peanuts
Chocolate,Dragon fruit,Blue Raspberry
Coffee,Chocolate,Strawberry
,,
Marionberry,Coffee,Grape
,,
,,
,,
Apple,Watermelon,Chocolate
Caramel,Pumpkin,Dark chocolate
Caramel,Pumpkin,Dark chocolate
Cherry,Cookie Dough,Orange
,,
,,
,,
coffee,green tea,dark chocolate 
Carmel,rootbeer,Chocloate
Coffee,Chocolate,Vanilla
White Chocolate,Raspberry,Passion Fruit
