rowid,SOURCE,TARGET,VALUE,fruit,meat,veggie
1,Sriracha,Buffalo,Steak,0,0,0
2,Raspberry,Sirloin,Coffee,1,0,0
3,Raspberry,Soy,Milk,1,0,0
4,Bacon,Strawberries,Blueberries,0,1,0
5,Chocolate,Coffee,Peanut,0,0,0
6,Balsamic,Avacado,Burnt,0,0,0
7,Dark,Coca-Cola,Milk,0,0,0
8,Iron,Gingersnaps,Sea,0,0,0
9,Garlic,Aged,Caramel,0,0,0
10,Garlic,Sriracha,Soy,0,0,0
11,Honey,Proscuitto,Vinegar,0,0,0
12,Vanilla,Butter,Onion,0,0,0
13,Mint,Chocolate,Green,0,0,0
14,Marinara,Beef,Pumpkin,0,0,0
15,Butter,Salt,Flour,0,0,0
16,Blackberry,Chocolate,Bacon,1,0,0
17,Chocolate,Root,Toffee,0,0,0
18,Coffee,Chocolate,Marijuana,0,0,0
19,Mushroom,Shallot,Tarragon,0,0,0
20,Rasberry,Curry,Ginger,0,0,0
21,Vanilla,Scallop,Chocolate,0,0,0
22,Coffee,Red,Cheescake,0,0,0
23,Vanilla,Chocolate,Double,0,0,0
24,Cheese,Caramel,Coffee,0,0,0
25,Onion,Peanut,Lemon,0,0,1
26,Coffee,Peanut,Chocolate,0,0,0
27,Water,Smoke,Chocolate,0,0,0
28,Lemonade,Peanut,Cola,0,0,0
29,Sweet,Apple,Caramel,0,0,0
30,Parmesan,Artichoke,Xhickrn,0,0,0
31,Peppermint,Coffee,Strawberry,0,0,0
32,Curry,Squash,Cayenne,0,0,0
33,Banana,Jalapeño,Vanilla,1,0,0
34,Raspberry,Chocolate,Gary,1,0,0
35,Milk,Milk,Dom,0,0,0
36,Sugar,Fat,Salt,0,0,0
37,Wintergreen,Purple,Orange,0,0,0
38,Mango,Popcorn,Strawberry,1,0,0
39,Dark,Salt,Seared,0,0,0
40,Vanilla,Raspberry,Grapefruit,0,0,0
41,Salt-Y,Lime,Coffee,0,0,0
42,Orange,Tangy,Sweet,1,0,0
43,Raspberry,Curry,Shrimp,1,0,0
44,Mango,Malt,Mustard,1,0,0
45,Chai,Meyer,Bacon,0,0,0
46,Blueberry,Watermelon,Wintergreen,1,0,0
47,Chai,Tuna,Teriyaki,0,0,0
48,Steak,Chocolate,Butter,0,0,0
49,Vanilla,Hot,Chocolate,0,0,0
50,Chocolate,Coconut,Pomegranate,0,0,0
51,Caramel,Bacon,Buffalo,0,0,0
