Name,Category
Oprah Winfrey,Personalities
Tiger Woods,Athletes
Mel Gibson,Actors
George Lucas,Directors/Producers
Shaquille O'Neal,Athletes
Steven Spielberg,Directors/Producers
Johnny Depp,Actors
Madonna,Musicians
Elton John,Musicians
Tom Cruise,Actors
Brad Pitt,Actors
Dan Brown,Authors
Will Smith,Actors
David Letterman,Personalities
Lance Armstrong,Athletes
Michael Jordan,Athletes
Michael Schumacher,Athletes
Will Ferrell,Comedians
Kobe Bryant,Athletes
Sean (Diddy) Combs,Musicians
Jay Leno,Comedians
J.K. Rowling,Authors
Metallica,Musicians
Jennifer Lopez,Musicians
Cast of Desperate Housewives,Television actresses
David Beckham,Athletes
Howard Stern,Personalities
Rush Limbaugh,Personalities
Shania Twain,Musicians
Peter Jackson,Directors/Producers
Denzel Washington,Actors
Rod Stewart,Musicians
Michael Vick,Athletes
Bette Midler,Musicians
The Olsen Twins,Television actresses
Jerry Bruckheimer,Directors/Producers
Jennifer Aniston,Actresses
Derek Jeter,Athletes
Julia Roberts,Actresses
Prince,Musicians
David Copperfield,Magicians
Tobey Maguire,Actors
The Eagles,Musicians
Ray Romano,Comedians
Nicole Kidman,Actresses
Jeff Gordon,Athletes
Phil Mickelson,Athletes
Alex Rodriguez,Athletes
Matt Damon,Actors
Adam Sandler,Actors
Oscar De La Hoya,Athletes
Lindsay Lohan,Television actresses
LeBron James,Athletes
Hilary Duff,Actresses
Paris Hilton,Personalities
Bill Clinton,Personalities
Maria Sharapova,Athletes
Drew Barrymore,Actresses
Andre Agassi,Athletes
Manny Ramirez,Athletes
Van Halen,Musicians
Serena Williams,Athletes
Valentino Rossi,Athletes
Jessica Simpson,Television actresses
Sandra Bullock,Actresses
Cameron Diaz,Actresses
Regis Philbin,Personalities
James Patterson,Authors
Paul Harvey,Personalities
Jennifer Garner,Television actresses
Nora Roberts,Authors
Ronaldo,Athletes
Judge Judy Sheindlin,Personalities
Ellen DeGeneres,Personalities
Naomi Watts,Actresses
Ashlee Simpson,Musicians
Gisele Bündchen,Models
Dave Chappelle,Comedians
John Madden,Personalities
Rudy Giuliani,Personalities
Venus Williams,Athletes
Matt Hasselbeck,Athletes
Jack Welch,Authors
Walter Jones,Athletes
Emeril Lagasse,Personalities
Wolfgang Puck,Personalities
Lindsay Davenport,Athletes
Arthur Agatston,Personalities
Annika Sorenstam,Athletes
Heidi Klum,Models
Kimora Lee Simmons,Personalities
Patricia Heaton,Television actresses
Kate Moss,Models
Ken Jennings,Personalities
Tyra Banks,Personalities
Frankie Muniz,Television actors
Adriana Lima,Models
David Blaine,Magicians
Amanda Bynes,Actresses
Charlie Palmer,Personalities
Steven Spielberg,Directors/Producers
Howard Stern,Personalities
George Lucas,Directors/Producers
Oprah Winfrey,Personalities
U2,Musicians
Jerry Seinfeld,Comedians
Rolling Stones,Musicians
Tiger Woods,Athletes
Dan Brown,Authors
Jerry Bruckheimer,Directors/Producers
J.K. Rowling,Authors
The Eagles,Musicians
Dick Wolf,Directors/Producers
Tom Cruise,Actors
Michael Schumacher,Athletes
Andrew Lloyd Webber,Musicians
Bruce Springsteen,Musicians
Muhammad Ali,Athletes
Cast of The Sopranos,Television actors
Phil Mickelson,Athletes
Dr. Phil McGraw,Personalities
Donald Trump,Personalities
Simon Cowell,Personalities
50 Cent,Musicians
Paul McCartney,Musicians
David Letterman,Personalities
Celine Dion,Musicians
The Olsen Twins,Television actresses
Peter Jackson,Directors/Producers
Denzel Washington,Actors
Neil Diamond,Musicians
Elton John,Musicians
Ray Romano,Comedians
Jay Leno,Comedians
Michael Jordan,Athletes
Kobe Bryant,Athletes
Rush Limbaugh,Personalities
Rod Stewart,Musicians
Shaquille O'Neal,Athletes
Dave Matthews Band,Musicians
Valentino Rossi,Athletes
Gisele Bündchen,Models
Johnny Depp,Actors
Tom Hanks,Actors
Alex Rodriguez,Athletes
