name,n
Olivia,"18,451"
Emma,"17,102"
Ava,"14,440"
Sophia,"13,714"
Isabella,"13,306"
Charlotte,"13,138"
Amelia,"12,862"
Mia,"12,414"
Harper,"10,442"
Evelyn,"10,392"
Abigail,"9,106"
Emily,"8,213"
Ella,"8,079"
Elizabeth,"7,844"
Camila,"7,809"
Luna,"7,755"
Sofia,"7,355"
Avery,"7,311"
Mila,"7,309"
Aria,"7,072"
Scarlett,"7,044"
Penelope,"6,697"
Layla,"6,478"
Chloe,"6,361"
Victoria,"6,344"
Madison,"6,269"
Eleanor,"6,164"
Grace,"6,062"
Nora,"5,899"
Riley,"5,676"
Zoey,"5,650"
Hannah,"5,586"
Hazel,"5,431"
Lily,"5,419"
Ellie,"5,404"
Violet,"5,386"
Lillian,"5,092"
Zoe,"5,034"
Stella,"4,965"
Aurora,"4,952"
Natalie,"4,782"
Emilia,"4,751"
Everly,"4,751"
Leah,"4,739"
Aubrey,"4,570"
Willow,"4,566"
Addison,"4,473"
Lucy,"4,444"
Audrey,"4,430"
Bella,"4,354"
Nova,"4,294"
Brooklyn,"4,270"
Paisley,"4,242"
Savannah,"4,148"
Claire,"4,111"
Skylar,"4,022"
Isla,"4,021"
Genesis,"4,009"
Naomi,"3,929"
Elena,"3,920"
Caroline,"3,900"
Eliana,"3,868"
Anna,"3,807"
Maya,"3,782"
Valentina,"3,782"
Ruby,"3,707"
Kennedy,"3,670"
Ivy,"3,664"
Ariana,"3,652"
Aaliyah,"3,636"
Cora,"3,567"
Madelyn,"3,557"
Alice,"3,527"
Kinsley,"3,493"
Hailey,"3,469"
Gabriella,"3,461"
Allison,"3,424"
Gianna,"3,408"
Serenity,"3,405"
Samantha,"3,351"
Sarah,"3,287"
Autumn,"3,261"
Quinn,"3,191"
Eva,"3,165"
Piper,"3,164"
Sophie,"3,159"
Sadie,"3,145"
Delilah,"3,133"
Josephine,"3,087"
Nevaeh,"3,080"
Adeline,"3,058"
Arya,"3,043"
Emery,"2,997"
Lydia,"2,985"
Clara,"2,929"
Vivian,"2,911"
Madeline,"2,849"
Peyton,"2,848"
Julia,"2,775"
Rylee,"2,766"
Brielle,"2,755"
Reagan,"2,744"
Natalia,"2,721"
Jade,"2,703"
Athena,"2,702"
Maria,"2,700"
Leilani,"2,685"
Everleigh,"2,607"
Liliana,"2,583"
Melanie,"2,582"
Mackenzie,"2,571"
Hadley,"2,562"
Raelynn,"2,556"
Kaylee,"2,528"
Rose,"2,507"
Arianna,"2,495"
Isabelle,"2,489"
Melody,"2,444"
Eliza,"2,436"
Lyla,"2,435"
