Program	Type	Spinoff
Cheers	Sitcom	No
60 Minutes	News	No
Roseanne	Sitcom	No
A Different World	Sitcom	No
Murphy Brown	Sitcom	No
America's Funniest Home Videos	Reality	No
Monday Night Football	Sports	No
The Golden Girls	Sitcom	No
Designing Women	Sitcom	No
"Murder, She Wrote"	Drama	No
Full House	Sitcom	No
Unsolved Mysteries	Reality	No
Matlock	Drama	No
Coach	Sitcom	No
Who's the Boss?	Sitcom	No
CBS Sunday Movie	Special	No
In the Heat of the Night	Drama	No
Major Dad	Sitcom	No
L.A. Law	Drama	No
"Doogie Howser, M.D."	Sitcom	No
Grand	Sitcom	No
Head of the Class	Sitcom	No
Growing Pains	Sitcom	No
Baby Talk	Sitcom	No
Davis Rules	Sitcom	No
The Wonder Years	Sitcom	No
Home Improvement	Sitcom	No
Room for Two	Sitcom	No
CBS Sunday Night Movie	Special	No
Evening Shade	Sitcom	No
Northern Exposure	Drama	No
Wings	Sitcom	No
20/20	News	No
The Fresh Prince of Bel -Air	Sitcom	No
NBC Monday Movie	Special	No
ABC Monday Movie	Special	No
48 Hours	News	No
Rescue 911	Reality	No
CBS Tuesday Movie	Special	No
Love & War	Sitcom	No
Hanging' with Mr. Cooper	Sitcom	No
The Jackie Thomas Show	Sitcom	No
Hearts Afire	Sitcom	No
Primetime Live	News	No
"Dr. Quinn, Medicine Woman"	Drama	No
Seinfeld	Sitcom	No
Blossom	Sitcom	No
ABC Sunday Night Movie	Special	No
Grace Under Fire	Sitcom	No
Thunder Alley	Sitcom	No
NYPD Blue	Drama	No
Turning Point	News	No
Dave's World	Sitcom	No
Homicide: Life on the Street	Drama	No
Phenom	Drama	No
ER	Drama	No
Friends	Sitcom	No
Mad About You	Sitcom	No
Madman of the People	Sitcom	No
Ellen	Sitcom	No
Hope and Gloria	Sitcom	No
Me and the Boys	Sitcom	No
Cybill	Sitcom	No
ABC Sunday Movie	Special	No
The Nanny	Sitcom	No
Law & Order	Drama	No
NBC Sunday Night Movie	Special	No
Chicago Hope	Drama	No
ABC Monday Night Movie	Special	No
The Martin Short Show	Sitcom	No
Caroline in the City	Sitcom	No
The Single Guy	Sitcom	No
Boston Common	Sitcom	No
"Walker, Texas Ranger"	Drama	No
NBC Sunday Movie	Special	No
3rd Rock from the Sun	Sitcom	No
The Naked Truth	Sitcom	No
Can't Hurry Love	Sitcom	No
The Dana Carvey Show	Sitcom	No
Suddenly Susan	Sitcom	No
Fired Up	Sitcom	No
Touched by an Angel	Drama	No
Spin City	Sitcom	No
The Drew Carey Show	Sitcom	No
Cosby	Sitcom	No
The X-Files	Drama	No
Veronica's Closet	Sitcom	No
Union Square	Sitcom	No
Just Shoot Me!	Sitcom	No
20/20 - Friday	News	No
Diagnosis: Murder	Drama	No
King of the Hill	Sitcom	No
Dharma & Greg	Sitcom	No
Hiller and Diller	Sitcom	No
Everybody Loves Raymond	Sitcom	No
Jesse	Sitcom	No
Providence	Drama	No
JAG	Drama	No
Becker	Sitcom	No
Ally McBeal	Drama	No
Who Wants to Be a Millionaire - Tuesday	Game	No
Who Wants to Be a Millionaire - Thursday	Game	No
Who Wants to Be a Millionaire - Sunday	Game	No
The Practice	Drama	No
Stark Raving Mad	Sitcom	No
Judging Amy	Drama	No
The West Wing	Drama	No
Family Law	Drama	No
Malcolm in the Middle	Sitcom	No
CBS Wednesday Movie	Special	No
Survivor	Reality	No
CSI: Crime Scene Investigation	Drama	No
Will & Grace	Sitcom	No
Temptation Island	Reality	No
Cursed/The Weber Show	Sitcom	No
The King of Queens	Sitcom	No
"Yes, Dear"	Sitcom	No
The District	Drama	No
Leap of Faith	Sitcom	No
Inside Schwartz	Sitcom	No
